timestamp;voltage;event;tput_app_1;tput_app_2;current_apps_number
0.0;3.3;VOn= 3.84;0.0;0.0;1
223.0;4.53569435442734; app_1 done;4.48;0.0;1
452.0;5.0; app_1 done;4.42;0.0;1
680.0;5.0; app_1 done;4.41;0.0;1
1000.0;5.0; app_2 done;3.0;1.0;1
1224.0;5.0; app_1 done;3.27;0.82;1
1449.0;5.0; app_1 done;3.45;0.69;1
1676.0;5.0; app_1 done;3.58;0.6;1
1997.0;5.0; app_2 done;3.0;1.0;1
2221.0;3.944605796966222; app_1 done;3.15;0.9;1
2449.0;2.419336993720301; app_1 done;3.27;0.82;1
2504.0;1.879995473012977;PF;3.19;0.8;0
4816.0;3.8410619115096356;On;1.66;0.42;1
5040.0;4.455852393199076; app_1 done;1.79;0.4;1
5360.0;4.932340741611489; app_2 done;1.68;0.56;1
5584.0;5.0; app_1 done;1.79;0.54;1
5811.0;5.0; app_1 done;1.89;0.52;1
6037.0;5.0; app_1 done;1.99;0.5;1
6357.0;4.801197017514582; app_2 done;1.89;0.63;1
6582.0;4.674157185488089; app_1 done;1.98;0.61;1
6808.0;4.375117546320711; app_1 done;2.06;0.59;1
7034.0;4.649359881361421; app_1 done;2.13;0.57;1
7354.0;4.415185584979783; app_2 done;2.04;0.68;1
7579.0;3.8817637223644175; app_1 done;2.11;0.66;1
7805.0;3.7989803005989162; app_1 done;2.18;0.64;1
8032.0;3.6241987444720105; app_1 done;2.24;0.62;1
8353.0;3.562658062141477; app_2 done;2.15;0.72;1
8577.0;3.7398983879130574; app_1 done;2.22;0.7;1
8805.0;3.9799710340157723; app_1 done;2.27;0.68;1
9031.0;4.20992808383634; app_1 done;2.33;0.66;1
9352.0;3.711906080522828; app_2 done;2.25;0.75;1
9576.0;3.402058894595186; app_1 done;2.3;0.73;1
9802.0;3.2545553275071497; app_1 done;2.35;0.71;1
10029.0;3.4535472615697156; app_1 done;2.39;0.7;1
10350.0;3.963753008892118; app_2 done;2.32;0.77;1
10574.0;4.277113776113188; app_1 done;2.36;0.76;1
10802.0;4.50204582985481; app_1 done;2.41;0.74;1
11028.0;4.404969440580175; app_1 done;2.45;0.73;1
11349.0;5.0; app_2 done;2.38;0.79;1
11573.0;5.0; app_1 done;2.42;0.78;1
11799.0;5.0; app_1 done;2.46;0.76;1
12026.0;4.906697151640116; app_1 done;2.49;0.75;1
12347.0;5.0; app_2 done;2.43;0.81;1
12571.0;5.0; app_1 done;2.47;0.8;1
12799.0;5.0; app_1 done;2.5;0.78;1
13025.0;5.0; app_1 done;2.53;0.77;1
13346.0;5.0; app_2 done;2.47;0.82;1
13570.0;5.0; app_1 done;2.51;0.81;1
13796.0;5.0; app_1 done;2.54;0.8;1
14022.0;5.0; app_1 done;2.57;0.78;1
14343.0;5.0; app_2 done;2.51;0.84;1
14567.0;4.478233821765493; app_1 done;2.54;0.82;1
14794.0;4.7491883413188365; app_1 done;2.57;0.81;1
15020.0;5.0; app_1 done;2.6;0.8;1
15340.0;5.0; app_2 done;2.54;0.85;1
15565.0;5.0; app_1 done;2.57;0.84;1
15791.0;5.0; app_1 done;2.6;0.82;1
16017.0;5.0; app_1 done;2.62;0.81;1
16338.0;5.0; app_2 done;2.57;0.86;1
16562.0;5.0; app_1 done;2.6;0.85;1
16788.0;5.0; app_1 done;2.62;0.83;1
17014.0;5.0; app_1 done;2.64;0.82;1
17335.0;5.0; app_2 done;2.6;0.87;1
17559.0;5.0; app_1 done;2.62;0.85;1
17785.0;5.0; app_1 done;2.64;0.84;1
18011.0;5.0; app_1 done;2.67;0.83;1
18332.0;5.0; app_2 done;2.62;0.87;1
18556.0;5.0; app_1 done;2.64;0.86;1
18783.0;5.0; app_1 done;2.66;0.85;1
19009.0;5.0; app_1 done;2.68;0.84;1
19329.0;5.0; app_2 done;2.64;0.88;1
19554.0;5.0; app_1 done;2.66;0.87;1
19779.0;5.0; app_1 done;2.68;0.86;1
20006.0;4.336752510591877; app_1 done;2.7;0.85;1
20327.0;2.2715017522341956; app_2 done;2.66;0.89;1
20365.0;1.879988964933425;PF;2.65;0.88;0
25377.0;3.8416347702812317;On;2.13;0.71;1
25601.0;4.535497913292357; app_1 done;2.15;0.7;1
25831.0;4.81650219676169; app_1 done;2.17;0.7;1
26057.0;5.0; app_1 done;2.19;0.69;1
26378.0;5.0; app_2 done;2.16;0.72;1
26602.0;5.0; app_1 done;2.18;0.71;1
26828.0;5.0; app_1 done;2.2;0.71;1
27055.0;5.0; app_1 done;2.22;0.7;1
27376.0;5.0; app_2 done;2.19;0.73;1
27600.0;5.0; app_1 done;2.21;0.72;1
27828.0;5.0; app_1 done;2.23;0.72;1
28055.0;5.0; app_1 done;2.25;0.71;1
28375.0;5.0; app_2 done;2.22;0.74;1
